"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.studio.StudioDashlet.r";"com.axelor.studio.db.StudioDashlet";"x";;;;;;;"BPM Read"
"perm.studio.StudioApp.r";"com.axelor.studio.db.StudioApp";"x";;;;;;;"BPM Read"
"perm.studio.StudioDashboard.r";"com.axelor.studio.db.StudioDashboard";"x";;;;;;;"BPM Read"
"perm.studio.StudioActionLine.r";"com.axelor.studio.db.StudioActionLine";"x";;;;;;;"BPM Read"
"perm.studio.StudioChart.r";"com.axelor.studio.db.StudioChart";"x";;;;;;;"BPM Read"
"perm.studio.StudioActionView.r";"com.axelor.studio.db.StudioActionView";"x";;;;;;;"BPM Read"
"perm.studio.StudioAction.r";"com.axelor.studio.db.StudioAction";"x";;;;;;;"BPM Read"
"perm.studio.StudioMenu.r";"com.axelor.studio.db.StudioMenu";"x";;;;;;;"BPM Read"
"perm.studio.Filter.r";"com.axelor.studio.db.Filter";"x";;;;;;;"BPM Read"
"perm.studio.AppDataLoader.r";"com.axelor.studio.db.AppDataLoader";"x";;;;;;;"BPM Read"
"perm.studio.StudioSelection.r";"com.axelor.studio.db.StudioSelection";"x";;;;;;;"BPM Read"
"perm.studio.ValueMapper.r";"com.axelor.studio.db.ValueMapper";"x";;;;;;;"BPM Read"
"perm.studio.AppLoader.r";"com.axelor.studio.db.AppLoader";"x";;;;;;;"BPM Read"
"perm.studio.WsAuthenticator.r";"com.axelor.studio.db.WsAuthenticator";"x";;;;;;;"BPM Read"
"perm.studio.WsConnector.r";"com.axelor.studio.db.WsConnector";"x";;;;;;;"BPM Read"
"perm.studio.WsKeyValue.r";"com.axelor.studio.db.WsKeyValue";"x";;;;;;;"BPM Read"
"perm.studio.WsRequest.r";"com.axelor.studio.db.WsRequest";"x";;;;;;;"BPM Read"
"perm.studio.StudioDashlet.rwc";"com.axelor.studio.db.StudioDashlet";"x";"x";"x";;;;;"BPM User"
"perm.studio.StudioApp.rwc";"com.axelor.studio.db.StudioApp";"x";"x";"x";;;;;"BPM User"
"perm.studio.StudioDashboard.rwc";"com.axelor.studio.db.StudioDashboard";"x";"x";"x";;;;;"BPM User"
"perm.studio.StudioActionLine.rwc";"com.axelor.studio.db.StudioActionLine";"x";"x";"x";;;;;"BPM User"
"perm.studio.StudioChart.rwc";"com.axelor.studio.db.StudioChart";"x";"x";"x";;;;;"BPM User"
"perm.studio.StudioActionView.rwc";"com.axelor.studio.db.StudioActionView";"x";"x";"x";;;;;"BPM User"
"perm.studio.StudioAction.rwc";"com.axelor.studio.db.StudioAction";"x";"x";"x";;;;;"BPM User"
"perm.studio.StudioMenu.rwc";"com.axelor.studio.db.StudioMenu";"x";"x";"x";;;;;"BPM User"
"perm.studio.Filter.rwc";"com.axelor.studio.db.Filter";"x";"x";"x";;;;;"BPM User"
"perm.studio.AppDataLoader.rwc";"com.axelor.studio.db.AppDataLoader";"x";"x";"x";;;;;"BPM User"
