"importId";"description";"name";"is_optional";"type";"transformation";"default_value"
"1";"";"value";"false";"String";2;""
"2";"";"search";"false";"String";"4";""
"3";"";"search";"false";"String";"6";""
"4";"";"search";"false";"String";"8";""
"5";"";"search";"false";"String";"11";""
"6";"";"search";"false";"String";"12";""
"7";"";"search";"false";"String";"13";""
"8";"";"search";"false";"String";"14";""
"9";"";"search";"false";"String";"15";""
"10";"";"search";"false";"String";"16";""
"11";"";"search";"false";"String";"80";""
"12";"The separator is the value that will separate the target and the value, by default is a single space (\u0020 in unicode)";"separator";"true";"String";"9";"\u0020"
"13";"";"mask";"false";"String";"20";"\u0020"
"14";"";"mask";"false";"String";"1";"\u0020"
"15";"";"regex";"false";"String";"3";""
"16";"";"replacement";"false";"String";"3";""
"18";"";"replacement";"false";"String";"4";""
"19";"";"start";"false";"Integer";"17";""
"20";"";"end";"false";"Integer";"17";""
"21";"";"mask";"false";"String";"2";"\u0020"
"22";"";"exp";"false";"Decimal";"34";""
"23";"";"value";"false";"Decimal";"35";""
"24";"";"value";"false";"Decimal";"36";""
"25";"";"value";"false";"Decimal";"47";""
"26";"";"value";"false";"Decimal";"9";""
"27";"";"days";"false";"Integer";"38";""
"28";"";"months";"false";"Integer";"40";""
"29";"";"years";"false";"Integer";"42";""
"30";"";"months";"false";"Integer";"41";""
"31";"";"days";"false";"Integer";"39";""
"32";"";"years";"false";"Integer";"43";""
"33";"";"format";"false";"String";"46";""
"34";"";"value";"false";"Decimal";"24";""
