"importId";"description";"name";"is_optional";"type";"transformation";"default_value"
"";"";"value";"false";"String";"2";""
"";"";"search";"false";"String";"37";""
"";"";"search";"false";"String";"38";""
"";"";"search";"false";"String";"39";""
"";"";"search";"false";"String";"40";""
"";"";"search";"false";"String";"41";""
"";"";"search";"false";"String";"42";""
"";"";"search";"false";"String";"43";""
"";"";"search";"false";"String";"44";""
"";"";"search";"false";"String";"45";""
"";"";"search";"false";"String";"46";""
"";"The separator is the value that will separate the target and the value, by default is a single space (\u0020 in unicode)";"separator";"true";"String";"2";"\u0020"
"";"";"mask";"false";"String";"47";"\u0020"
"";"";"mask";"false";"String";"48";"\u0020"
"";"";"regex";"false";"String";"49";""
"";"";"replacement";"false";"String";"49";""
"";"";"search";"false";"String";"50";""
"";"";"replacement";"false";"String";"50";""
"";"";"start";"false";"Integer";"53";""
"";"";"end";"false";"Integer";"53";""
"";"";"mask";"false";"String";"56";"\u0020"
"";"";"exp";"false";"Decimal";"79";""
"";"";"value";"false";"Decimal";"82";""
"";"";"value";"false";"Decimal";"90";""
"";"";"value";"false";"Decimal";"80";""
"";"";"value";"false";"Decimal";"78";""
"";"";"days";"false";"Integer";"95";""
"";"";"months";"false";"Integer";"96";""
"";"";"years";"false";"Integer";"98";""
"";"";"months";"false";"Integer";"97";""
"";"";"days";"false";"Integer";"53";""
"";"";"years";"false";"Integer";"99";""
"";"";"format";"false";"String";"102";""
"";"";"value";"false";"Decimal";"104";""
